P1_001N,NAME,state,county,tract
3424,"Census Tract 92.02, Kings County, New York",36,47,9202
3127,"Census Tract 94.01, Kings County, New York",36,47,9401
3168,"Census Tract 94.02, Kings County, New York",36,47,9402
6462,"Census Tract 96, Kings County, New York",36,47,9600
7440,"Census Tract 98, Kings County, New York",36,47,9800
7741,"Census Tract 100, Kings County, New York",36,47,10000
4590,"Census Tract 101, Kings County, New York",36,47,10100
6578,"Census Tract 102, Kings County, New York",36,47,10200
3015,"Census Tract 104.01, Kings County, New York",36,47,10401
2965,"Census Tract 104.02, Kings County, New York",36,47,10402
3037,"Census Tract 106.01, Kings County, New York",36,47,10601
2820,"Census Tract 106.02, Kings County, New York",36,47,10602
2876,"Census Tract 108.01, Kings County, New York",36,47,10801
2840,"Census Tract 108.02, Kings County, New York",36,47,10802
2709,"Census Tract 110, Kings County, New York",36,47,11000
6636,"Census Tract 112, Kings County, New York",36,47,11200
4150,"Census Tract 114, Kings County, New York",36,47,11400
5529,"Census Tract 116, Kings County, New York",36,47,11600
2672,"Census Tract 117, Kings County, New York",36,47,11700
2578,"Census Tract 118, Kings County, New York",36,47,11800
1589,"Census Tract 119.01, Kings County, New York",36,47,11901
0,"Census Tract 119.02, Kings County, New York",36,47,11902
1176,"Census Tract 120, Kings County, New York",36,47,12000
1916,"Census Tract 121, Kings County, New York",36,47,12100
5521,"Census Tract 122, Kings County, New York",36,47,12200
3085,"Census Tract 126, Kings County, New York",36,47,12600
4036,"Census Tract 127, Kings County, New York",36,47,12700
2567,"Census Tract 128.01, Kings County, New York",36,47,12801
2333,"Census Tract 129.01, Kings County, New York",36,47,12901
3318,"Census Tract 129.02, Kings County, New York",36,47,12902
5347,"Census Tract 130, Kings County, New York",36,47,13000
3979,"Census Tract 131, Kings County, New York",36,47,13100
2870,"Census Tract 132, Kings County, New York",36,47,13200
4411,"Census Tract 133, Kings County, New York",36,47,13300
4212,"Census Tract 134, Kings County, New York",36,47,13400
3799,"Census Tract 135, Kings County, New York",36,47,13500
4079,"Census Tract 136, Kings County, New York",36,47,13600
3406,"Census Tract 137, Kings County, New York",36,47,13700
3247,"Census Tract 138, Kings County, New York",36,47,13800
3727,"Census Tract 139, Kings County, New York",36,47,13900
2136,"Census Tract 140, Kings County, New York",36,47,14000
1621,"Census Tract 141.01, Kings County, New York",36,47,14101
1858,"Census Tract 141.02, Kings County, New York",36,47,14102
3434,"Census Tract 142, Kings County, New York",36,47,14200
3705,"Census Tract 143, Kings County, New York",36,47,14300
4404,"Census Tract 145, Kings County, New York",36,47,14500
2242,"Census Tract 147, Kings County, New York",36,47,14700
1244,"Census Tract 148, Kings County, New York",36,47,14800
1529,"Census Tract 149.01, Kings County, New York",36,47,14901
3601,"Census Tract 149.02, Kings County, New York",36,47,14902
1791,"Census Tract 150, Kings County, New York",36,47,15000
3696,"Census Tract 151, Kings County, New York",36,47,15100
2545,"Census Tract 152, Kings County, New York",36,47,15200
2633,"Census Tract 153, Kings County, New York",36,47,15300
9,"Census Tract 154, Kings County, New York",36,47,15400
3466,"Census Tract 155, Kings County, New York",36,47,15500
4447,"Census Tract 157, Kings County, New York",36,47,15700
5206,"Census Tract 159, Kings County, New York",36,47,15900
4462,"Census Tract 160, Kings County, New York",36,47,16000
3450,"Census Tract 161, Kings County, New York",36,47,16100
2218,"Census Tract 162, Kings County, New York",36,47,16200
4088,"Census Tract 163, Kings County, New York",36,47,16300
775,"Census Tract 164, Kings County, New York",36,47,16400
5080,"Census Tract 165, Kings County, New York",36,47,16500
1968,"Census Tract 166, Kings County, New York",36,47,16600
4754,"Census Tract 167, Kings County, New York",36,47,16700
1695,"Census Tract 168, Kings County, New York",36,47,16800
4459,"Census Tract 169, Kings County, New York",36,47,16900
3604,"Census Tract 170, Kings County, New York",36,47,17000
3717,"Census Tract 171, Kings County, New York",36,47,17100
3300,"Census Tract 172, Kings County, New York",36,47,17200
1950,"Census Tract 174, Kings County, New York",36,47,17400
5,"Census Tract 175, Kings County, New York",36,47,17500
2418,"Census Tract 176, Kings County, New York",36,47,17600
15,"Census Tract 177, Kings County, New York",36,47,17700
2959,"Census Tract 178, Kings County, New York",36,47,17800
3895,"Census Tract 179, Kings County, New York",36,47,17900
3125,"Census Tract 180, Kings County, New York",36,47,18000
4204,"Census Tract 181, Kings County, New York",36,47,18100
3745,"Census Tract 182, Kings County, New York",36,47,18200
2784,"Census Tract 183, Kings County, New York",36,47,18300
2460,"Census Tract 184, Kings County, New York",36,47,18400
4461,"Census Tract 185.01, Kings County, New York",36,47,18501
2364,"Census Tract 186, Kings County, New York",36,47,18600
1336,"Census Tract 187, Kings County, New York",36,47,18700
2955,"Census Tract 188, Kings County, New York",36,47,18800
4853,"Census Tract 190, Kings County, New York",36,47,19000
3427,"Census Tract 191, Kings County, New York",36,47,19100
3541,"Census Tract 192, Kings County, New York",36,47,19200
6279,"Census Tract 193, Kings County, New York",36,47,19300
3570,"Census Tract 194, Kings County, New York",36,47,19400
3684,"Census Tract 195, Kings County, New York",36,47,19500
4691,"Census Tract 196, Kings County, New York",36,47,19600
3585,"Census Tract 197, Kings County, New York",36,47,19700
2061,"Census Tract 198, Kings County, New York",36,47,19800
3978,"Census Tract 199, Kings County, New York",36,47,19900
2442,"Census Tract 200, Kings County, New York",36,47,20000
3862,"Census Tract 201, Kings County, New York",36,47,20100
2147,"Census Tract 202, Kings County, New York",36,47,20200
2132,"Census Tract 203, Kings County, New York",36,47,20300
2040,"Census Tract 204, Kings County, New York",36,47,20400
3405,"Census Tract 205, Kings County, New York",36,47,20500
2505,"Census Tract 206, Kings County, New York",36,47,20600
4871,"Census Tract 207, Kings County, New York",36,47,20700
3782,"Census Tract 208, Kings County, New York",36,47,20800
4488,"Census Tract 210, Kings County, New York",36,47,21000
2505,"Census Tract 211, Kings County, New York",36,47,21100
5278,"Census Tract 212, Kings County, New York",36,47,21200
3880,"Census Tract 213, Kings County, New York",36,47,21300
2502,"Census Tract 214, Kings County, New York",36,47,21400
5569,"Census Tract 215, Kings County, New York",36,47,21500
4280,"Census Tract 216, Kings County, New York",36,47,21600
4351,"Census Tract 217, Kings County, New York",36,47,21700
4191,"Census Tract 218, Kings County, New York",36,47,21800
4225,"Census Tract 219, Kings County, New York",36,47,21900
5660,"Census Tract 220, Kings County, New York",36,47,22000
3897,"Census Tract 221, Kings County, New York",36,47,22100
5633,"Census Tract 222, Kings County, New York",36,47,22200
