DOLocationID,dropoff_count,flag_dropoff_peak_hours
1,33316,0
1,142198,1
10,10740,0
10,53862,1
100,167250,0
100,1168282,1
101,1079,0
101,5932,1
102,3460,0
102,9190,1
105,11,0
105,76,1
106,9798,0
106,29052,1
107,273558,0
107,1462356,1
108,1326,0
108,4994,1
109,273,0
109,739,1
11,1733,0
11,5142,1
110,5,1
111,268,0
111,843,1
112,45569,0
112,127780,1
113,118900,0
113,994284,1
114,117219,0
114,715525,1
115,547,0
115,947,1
116,66299,0
116,163845,1
117,1343,0
117,6907,1
118,535,0
118,1608,1
119,5469,0
119,13194,1
12,5869,0
12,47243,1
120,1092,0
120,2462,1
121,3210,0
121,11117,1
122,1263,0
122,4456,1
123,3548,0
123,11144,1
124,2242,0
124,10456,1
125,57506,0
125,367527,1
126,4073,0
126,7296,1
127,16409,0
127,44982,1
128,1371,0
128,3860,1
129,51410,0
129,111749,1
13,102003,0
13,679394,1
130,8739,0
130,37381,1
131,3042,0
131,11414,1
132,127465,0
132,656289,1
133,7366,0
133,18670,1
134,6843,0
134,26116,1
135,4884,0
135,17344,1
136,4189,0
136,9348,1
137,233958,0
137,894121,1
138,203424,0
138,751305,1
139,2221,0
139,9075,1
14,16630,0
14,47488,1
140,230715,0
140,1299386,1
141,231692,0
141,1826731,1
142,193523,0
142,2085442,1
143,117216,0
143,1019718,1
144,105982,0
144,636014,1
145,65026,0
145,203241,1
146,29741,0
146,75379,1
147,3424,0
147,6579,1
148,188403,0
148,653703,1
149,2879,0
149,8832,1
15,1404,0
15,7791,1
150,1312,0
150,5006,1
151,77552,0
151,641191,1
152,35386,0
152,103132,1
153,1064,0
153,3055,1
154,271,0
154,1079,1
155,3067,0
155,11886,1
156,293,0
156,742,1
157,8914,0
157,19994,1
158,98473,0
158,748502,1
159,9058,0
159,17308,1
16,2949,0
16,11031,1
160,6160,0
160,19011,1
161,535579,0
161,2725653,1
162,381222,0
162,2171805,1
163,247195,0
163,1760770,1
164,241257,0
